original_word,new_word,similarity_score
saiga,sKAg,0.9266117215156556
passkeys,Sieg,0.9001599550247192
tedium,RÄTE,0.8972029089927673
titre,TIERE,0.863683819770813
gymnasiums,gYMs,0.820966362953186
messuage,sAUg,0.7719922065734863
taubes,HUPE,0.7702521085739136
fugues,TuTU,0.7596641778945923
curtseys,STYE,0.7465608716011047
gigue,SUsIs,0.7399234771728516
titres,TIERE,0.7331624627113342
exegeses,SeSs,0.7293174266815186
pityriasis,PRISE,0.7200393080711365
lessees,eSSeS,0.6757506728172302
prochain,halo,0.6629549264907837
caryatid,REPS,0.659745454788208
skag,sAke,0.6560449600219727
teddies,RÄTE,0.6537229418754578
doodle,ELlE,0.6531704068183899
affricates,RILL,0.6485044956207275
pityriasis,RISER,0.6449761390686035
rillettes,TULle,0.6401897072792053
sacs,ecCe,0.6292315721511841
oddments,ElLE,0.6270356774330139
comfrey,STIL,0.6262646913528442
oddment,ElLE,0.6199947595596313
caciques,WEKa,0.6124293804168701
sissies,SIggI,0.6051590442657471
burgesses,SeSs,0.6033423542976379
crannog,nogg,0.6016759872436523
chieftain,PELT,0.6007305383682251
demerara,PIPIT,0.5955643653869629
giocoso,loin,0.5949892997741699
sukiyaki,MIkWe,0.5929134488105774
cuirassier,SKUa,0.5922049283981323
trochanter,halo,0.5879396796226501
schticks,linn,0.5776239633560181
cayenne,SOCa,0.573655366897583
shabbiness,dhal,0.5674539804458618
guttate,TEPEE,0.5672445297241211
emcees,eSSaY,0.5654762983322144
schnitzels,KERN,0.5615455508232117
gawkers,SkuAs,0.5602886080741882
buffoon,goof,0.5571174621582031
aguacate,cAWs,0.5567870140075684
cayennes,SOCa,0.5561249852180481
bemusement,gUYS,0.554044246673584
cacique,WEKa,0.5530766248703003
zither,BERK,0.5523234605789185
vassalage,sAge,0.5521356463432312
reserpine,RAIT,0.5505307912826538
goethite,ERBE,0.5503005981445312
breccia,hill,0.5451430678367615
schmucks,linn,0.5388017892837524
contumely,MeTT,0.538222074508667
rhesus,eWeS,0.5350384712219238
bitty,SEER,0.5336472988128662
caryatids,REPS,0.52784264087677
gasket,keAs,0.5272940397262573
frippery,SITAR,0.5221923589706421
yesterday,DITS,0.5214371085166931
peerages,PITTA,0.520439624786377
ecstasies,KeaS,0.5169966816902161
messuage,CUeS,0.5164199471473694
supergiant,hind,0.5163626670837402
guanaco,cAWs,0.5149632692337036
scallywag,sCuM,0.5144966244697571
fleece,SaSS,0.5124135613441467
seesaw,CeSS,0.5092829465866089
kirpans,PAIR,0.5082064867019653
ethnicity,liga,0.5069382190704346
entries,TRIENT,0.5050991177558899
passageway,AuSsAge,0.50423663854599
wigwams,YAws,0.5030324459075928
sayyid,KOMA,0.50032639503479
typicality,ERAS,0.4975395798683166
peerage,PITTA,0.4975084662437439
scallywags,sCuM,0.4947770237922668
ytterbium,TEES,0.4947323203086853
cyprian,RIAS,0.4904457330703735
gassings,KeAs,0.4826172888278961
gawkers,SkuA,0.4793801009654999
yenta,PENTS,0.4792799353599548
syntaxes,PENS,0.479252427816391
orgasms,YeAs,0.4787324070930481
seesaw,wAgS,0.4787130355834961
chieftains,PELT,0.4763721823692322
guttate,EPEE,0.4755814671516418
hawkers,SkuA,0.4732997715473175
scallywag,sAuM,0.4732973575592041
enrollment,Elle,0.4620630145072937
technician,liga,0.4525183439254761
trekkers,SkiS,0.4522580206394195
seismology,eISe,0.4506167471408844
pupils,FRAU,0.4454223811626434
tenpins,RANT,0.4445452690124511
zithers,BERK,0.4433881342411041
ethicality,ERBE,0.4413719773292541
shofar,foal,0.4409197270870209
pedipalps,PARD,0.4407282173633575
buffoonery,goof,0.4403010606765747
steerer,TITTE,0.438889741897583
boyars,YIPS,0.4387037456035614
vicarage,sAcK,0.436712384223938
nystagmus,gUYs,0.4362468719482422
essays,eMCeeS,0.4357907176017761
emcees,eSSaYS,0.4357907176017761
profligacy,cAsK,0.4352734088897705
enrapt,PINT,0.4350381195545196
cissus,WeKa,0.4301797747611999
aloe,joch,0.4294945299625397
fleeces,SaSS,0.4276790022850036
addressees,eSSeS,0.4271727204322815
immediacy,MEme,0.4212610125541687
fauteuils,RUTE,0.4197732806205749
scallywags,sAuM,0.4172448813915252
fascia,hill,0.4157907366752624
pupil,FRAU,0.414000540971756
sweetness,NETT,0.4116565287113189
reggae,SAsS,0.4086204171180725
reggae,SAss,0.4086204171180725
layaway,MAMA,0.4084652662277221
assassin,gAge,0.4060737788677215
momentum,meTT,0.4013423025608063
effrontery,SILL,0.4011436402797699
schnitzel,KERN,0.4001773595809936
tenpenny,TANTE,0.3993610739707947
supremacy,cAYS,0.3983292877674103
revelries,RIFT,0.3945561349391937
gingham,hang,0.3925696909427643
layaways,MAMA,0.3925058841705322
disquiet,WEeK,0.3888392448425293
bellmen,Elle,0.3853364288806915
fettuccine,fUGE,0.3835926651954651
essays,eMCee,0.3816084563732147
steerers,TITTE,0.3815039396286011
bilharzia,acid,0.3771544694900512
tokamaks,kAYAk,0.3744022846221924
wiseacres,cASe,0.3739919066429138
massacre,cAge,0.37264484167099
basketball,HETZ,0.3717350661754608
amygdalas,sOYA,0.3707474172115326
decay,MAaS,0.369466483592987
mesas,gAgS,0.3680012226104736
gassiness,KeAs,0.3673038482666015
dirham,BIRD,0.3657930493354797
vacuities,SKUa,0.3655446171760559
pyrography,APIS,0.3654360771179199
amygdalin,sOYA,0.3642336726188659
dirhams,BIRD,0.3621236681938171
disloyalty,FYRD,0.3618671298027038
jigsaws,wAgs,0.3617977499961853
codon,gobo,0.3607734739780426
official,chili,0.3600092530250549
dressage,sAgeS,0.3596931397914886
sweetheart,BETT,0.3587402105331421
fettucine,fUGE,0.3569290041923523
odalisques,WEeK,0.3537396192550659
essayist,IMAgeS,0.353715717792511
goldilocks,kays,0.352863997220993
tangibles,ding,0.352759450674057
afghanis,hanf,0.3522674441337585
dysplasia,FAYS,0.3486872613430023
integers,TÜTE,0.3479000926017761
newsmen,YewS,0.3462650179862976
mouthpiece,TRAB,0.344633549451828
assays,eMCee,0.3441531062126159
gaskets,keAs,0.3434399664402008
coliform,fico,0.3427370190620422
emaciation,cAYS,0.3411673903465271
massacres,cAge,0.3403546214103699
alluvium,MUFF,0.3398245573043823
assassins,gAge,0.3388799428939819
centipede,TARENT,0.3385486602783203
emus,gUYS,0.3371555209159851
guys,eMUs,0.3371555209159851
septuplets,AQUA,0.3355695009231567
proclivity,clod,0.3341802060604095
billhook,acid,0.3340139985084533
stirrer,TIRE,0.3339739739894867
vibrissae,SAge,0.3329216241836548
essayist,IMAge,0.331559419631958
centipedes,TARENT,0.3312795758247375
gook,moon,0.3295384347438812
newsman,YewS,0.3237878084182739
yarmulke,VIPS,0.3228329122066498
centricity,SERIEN,0.3216703534126282
prissiness,geeK,0.3185321986675262
stuntmen,VENUE,0.3162028193473816
tepidity,RATE,0.3131958544254303
barleycorn,yaMS,0.3103399872779846
sunrays,SPIN,0.3078505992889404
essayists,IMAgeS,0.3074068427085876
assessment,Yegg,0.3070795834064483
copybook,modi,0.3035535812377929
weldment,ElLe,0.303243339061737
gangway,MAus,0.3026904761791229
successes,SeeSaW,0.3022011816501617
polyuria,PRIUS,0.2992379069328308
seismicity,eISe,0.29770028591156
twentieth,BETR,0.2930056154727936
stepfather,PLAT,0.290487140417099
marzipan,PARK,0.2890185713768005
nightfall,PLEB,0.2880567908287048
hallux,CUFF,0.2877951264381408
desiccant,caKe,0.2877620160579681
bullroarer,TIFF,0.2874212563037872
amphipod,ARBA,0.2873408496379852
namesake,iCeS,0.2872613668441772
gangways,MAus,0.2871860265731811
thesaurus,WAgS,0.2850766777992248
message,sAgeS,0.2799752950668335
integers,TÜTEN,0.2785041034221649
hogwash,eCus,0.2784649133682251
honeycomb,yaMS,0.2784190773963928
plesiosaur,WAgS,0.2769136428833008
diphtheria,BARD,0.2765587568283081
kitty,SEER,0.2748691141605377
vacuoles,yUcA,0.2746675908565521
ascetics,gagA,0.2732936143875122
diphthongs,BARD,0.2723297476768493
spatiality,PREPAY,0.2716597318649292
psychics,gaMe,0.2716443538665771
desiccant,CaKeS,0.2715927362442016
desiccant,caKeS,0.2715927362442016
stuntman,VENUE,0.2669152617454529
namesakes,iCeS,0.2667693197727203
antigen,TÜREN,0.2659767866134643
sewage,sAuSe,0.2638983726501465
yarmulkes,VIPS,0.2610646188259125
iguanas,eCUs,0.259507268667221
extremity,SECT,0.2583388388156891
desiccants,caKeS,0.2578901052474975
desiccants,CaKeS,0.2578901052474975
stirrers,TIRE,0.2567571401596069
psychotics,gaMe,0.2562456727027893
architect,EXTER,0.2562110722064972
ossicles,cIggy,0.2556651830673218
dexterity,SECT,0.2556512355804443
essayists,IMAge,0.254883348941803
beeswax,CueS,0.2546951472759247
minibikes,midi,0.25342458486557
amphipods,ARBA,0.2526825070381164
reissues,WeeKS,0.2519080340862274
crypts,YEAS,0.2502988278865814
antigens,TÜREN,0.2498612999916076
coliforms,fico,0.2493067532777786
seacraft,cASe,0.2492510974407196
goannas,gAys,0.2476502358913421
woodcock,loon,0.2457271218299865
wheelman,deED,0.2441980987787246
newcomers,yawS,0.2430298924446106
panchayats,YEPS,0.2418390065431594
simplices,SaKe,0.2411432266235351
tracksuit,Weka,0.2407170981168747
ethicality,SERBE,0.2389880716800689
gangways,MAws,0.2359693795442581
gangway,MAws,0.235765591263771
mateship,BYTE,0.2352471351623535
desiccants,caKe,0.2332054078578949
newcomer,yawS,0.2320536077022552
dictaphone,APEX,0.229930892586708
seaways,OASe,0.2295221090316772
ergonomics,ikon,0.2263891696929931
sewage,sCuSe,0.2259730398654937
tetrachord,DIET,0.2249239385128021
sentries,TRIENT,0.2243683338165283
takeaways,MASk,0.2216876298189163
laserdiscs,gagA,0.2211383432149887
pergolas,cond,0.2194518446922302
seaway,OASe,0.2117202132940292
tracksuits,Weka,0.2116817682981491
camerawork,yuCa,0.2106146514415741
expressway,CueS,0.2102717906236648
stepfather,PLATE,0.2089214622974395
architects,EXTER,0.208041101694107
eucalypts,YEAS,0.2033563703298568
ergosterol,cond,0.2013967931270599
espressos,eyeS,0.2008862793445587
transients,ENTRY,0.1995045095682144
messiness,eggS,0.1990028470754623
hostelries,RIFT,0.1983943730592727
lanthanide,bigha,0.1926154494285583
weldments,ElLe,0.1923355907201767
keypad,PAST,0.1873678267002105
sewage,sAwS,0.1809921115636825
cocooning,gigolo,0.1803446263074875
geodesy,MeSs,0.1792613267898559
interphase,BAIT,0.1751349717378616
pedipalps,YARD,0.1667586266994476
yarns,NIPS,0.1650689393281936
languages,sAWs,0.1647479683160781
amnesiacs,cAKeS,0.1584969162940979
freephone,BATT,0.1563896387815475
keypads,PAST,0.1539524495601654
language,sAWs,0.1536290645599365
yarn,NIPS,0.1461912393569946
pesos,eyeS,0.1447698473930359
amnesiacs,cAKe,0.1425038576126098
ballplayer,FAFF,0.1400452852249145
aftercare,TITEL,0.1312452554702758
teeth,BETT,0.1281751692295074
narcissus,WeKa,0.1139998584985733
woodblocks,loon,0.1131128072738647
despotisms,eYeS,0.1060738563537597
decay,MAcS,0.1042859479784965
wattmeter,VEEP,0.1018491014838218
butternut,UNIT,0.0907902419567108
gossips,Keys,0.0793441981077194
crosscuts,Wage,0.0780979916453361
gossip,Keys,0.0733633786439895
speedwell,deED,0.0677690282464027
butternuts,UNIT,0.064101867377758
cheesecake,CaSeS,0.0344020538032054
secrecy,OaSe,0.0293156467378139
