original_word,new_word,case_variations,starting_letter,offset,direction
aubrieta,PETRI,"['AubrIETA', 'AUbrIETA', 'AuBrIETA', 'AUBrIETA', 'AubRIETA', 'AUbRIETA', 'AuBRIETA', 'AUBRIETA']",3,3,reverse
tapeta,ETAPE,['tAPETA'],0,3,reverse
fescue,SWagS,"['fesCue', 'FesCue']",1,1,reverse
mages,eSsAY,['MAgeS'],0,1,reverse
fuelled,EDleM,"['fueLlED', 'fUeLlED']",1,7,reverse
sicker,SicKe,"['SicKer', 'SicKeR']",0,1,reverse
spatially,REPAY,"['sPATIAlly', 'SPATIAlly', 'sPATIAlLy', 'SPATIAlLy', 'sPATIAllY', 'SPATIAllY', 'sPATIAlLY', 'SPATIAlLY']",0,3,reverse
spatially,PREPAY,"['sPATIALly', 'SPATIALly', 'sPATIALlY', 'SPATIALlY']",0,3,reverse
titres,TIERE,['tITRES'],0,3,reverse
butterfly,FLITE,"['buttERFLY', 'bUttERFLY', 'buTtERFLY', 'bUTtERFLY', 'butTERFLY', 'bUtTERFLY', 'buTTERFLY', 'bUTTERFLY']",3,3,reverse
calcified,filch,"['calcifiEd', 'CalcifiEd', 'cAlcifiEd', 'CAlcifiEd', 'calcifiED', 'CalcifiED', 'cAlcifiED', 'CAlcifiED']",1,4,reverse
weldment,EdLeM,"['weLdMEnt', 'WeLdMEnt', 'weLdMENt', 'WeLdMENt', 'weLdMEnT', 'WeLdMEnT', 'weLdMENT', 'WeLdMENT']",0,7,reverse
mesenteric,RITEN,"['mesenTERIC', 'mEsenTERIC', 'meSenTERIC', 'mESenTERIC', 'mesEnTERIC', 'mEsEnTERIC', 'meSEnTERIC', 'mESEnTERIC', 'meseNTERIC', 'mEseNTERIC', 'meSeNTERIC', 'mESeNTERIC', 'mesENTERIC', 'mEsENTERIC', 'meSENTERIC', 'mESENTERIC']",4,3,reverse
excluded,DELETe,"['ExcLUDeD', 'EXcLUDeD', 'ExCLUDeD', 'EXCLUDeD']",2,7,reverse
essaying,IMAgeS,"['eSsAYIng', 'eSsAYINg', 'eSsAYInG', 'eSsAYING']",0,1,reverse
essaying,IMAge,"['eSsAYIng', 'ESsAYIng', 'eSsAYINg', 'ESsAYINg', 'eSsAYInG', 'ESsAYInG', 'eSsAYING', 'ESsAYING']",1,1,reverse
expat,EPACT,['EXPAT'],0,3,reverse
nitride,DRIER,"['niTRIDE', 'nITRIDE']",1,3,reverse
antigenic,TÜREN,"['anTIGeNic', 'AnTIGeNic', 'aNTIGeNic', 'ANTIGeNic', 'anTIGeNiC', 'AnTIGeNiC', 'aNTIGeNiC', 'ANTIGeNiC']",1,3,reverse
votaries,TRIPE,"['votARIES', 'vOtARIES', 'voTARIES', 'vOTARIES']",2,3,reverse
welded,EDLeM,['WeLdED'],0,7,reverse
deleted,DELUDe,"['DeLETeD', 'DELETeD']",1,7,reverse
deleted,DELUDeD,['DELETeD'],0,7,reverse
solitarily,RIPER,"['soliTARILy', 'SoliTARILy', 'sOliTARILy', 'SOliTARILy', 'soLiTARILy', 'SoLiTARILy', 'sOLiTARILy', 'SOLiTARILy', 'solITARILy', 'SolITARILy', 'sOlITARILy', 'SOlITARILy', 'soLITARILy', 'SoLITARILy', 'sOLITARILy', 'SOLITARILy']",3,3,reverse
supervised,MITAU,"['suPERVIsed', 'SuPERVIsed', 'sUPERVIsed', 'SUPERVIsed', 'suPERVIsEd', 'SuPERVIsEd', 'sUPERVIsEd', 'SUPERVIsEd', 'suPERVIseD', 'SuPERVIseD', 'sUPERVIseD', 'SUPERVIseD', 'suPERVIsED', 'SuPERVIsED', 'sUPERVIsED', 'SUPERVIsED']",1,3,reverse
creepier,TRATT,"['creEPIER', 'cReEPIER', 'crEEPIER', 'cREEPIER']",2,3,reverse
megastore,gAsSY,"['MegAstore', 'MegAsTore', 'MegAstOre', 'MegAsTOre', 'MegAstoRe', 'MegAsToRe', 'MegAstORe', 'MegAsTORe', 'MegAstorE', 'MegAsTorE', 'MegAstOrE', 'MegAsTOrE', 'MegAstoRE', 'MegAsToRE', 'MegAstORE', 'MegAsTORE']",0,1,reverse
intermodal,VITEN,"['inTERMOdal', 'InTERMOdal', 'iNTERMOdal', 'INTERMOdal', 'inTERMODal', 'InTERMODal', 'iNTERMODal', 'INTERMODal', 'inTERMOdAl', 'InTERMOdAl', 'iNTERMOdAl', 'INTERMOdAl', 'inTERMODAl', 'InTERMODAl', 'iNTERMODAl', 'INTERMODAl', 'inTERMOdaL', 'InTERMOdaL', 'iNTERMOdaL', 'INTERMOdaL', 'inTERMODaL', 'InTERMODaL', 'iNTERMODaL', 'INTERMODaL', 'inTERMOdAL', 'InTERMOdAL', 'iNTERMOdAL', 'INTERMOdAL', 'inTERMODAL', 'InTERMODAL', 'iNTERMODAL', 'INTERMODAL']",1,3,reverse
skewers,SuSie,"['SKeWers', 'SKeWeRs', 'SKeWerS', 'SKeWeRS']",0,1,reverse
doodled,DELlE,"['DooDleD', 'DOoDleD', 'DoODleD', 'DOODleD']",2,7,reverse
entries,TRIENT,['eNTRIES'],0,3,reverse
